AppId	signaler	detected_ETS-related_type	ETS-related_type_oracle	correctness_comparison_result
com.guangjun.brainteaser-333	android.os.Parcel.readException	Unknown	Unknown	true
com.a0soft.gphone.aDataOnOff-67	android.app.IActivityWatcher$Stub.<init>	Empty	Unknown	false
com.harteg.crookcatcher-54	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ninesky.browser-76	android.database.CursorWindow.nativeGetString	Unknown	Unknown	true
com.net263.secondarynum.activity-231	android.os.Parcel.readException	Unknown	Unknown	true
com.divination1518-278	android.database.sqlite.SQLiteOpenHelper.onDowngrade	Empty	Empty	true
com.mdk.smartalarm-375	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
llc.auroraappdesign.votd-370	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.springpad-42	android.support.v4.app.Fragment.getResources	Field	Unknown	false
nl.robertloeberdevelopment-210	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.apps.calendar-40	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.tgtap.gtacheats-44	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.MSoft.cloudradio-100	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
xiaoyu.fruit.sric.android-366	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.harjuconsulting.android.weather-137	android.os.Parcel.readException	Unknown	Unknown	true
br.com.msapp.mycurriculumvitae.free-177	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.justnote-78	android.database.sqlite.SQLiteClosable.acquireReference	Field	Field	true
com.cricbuzz.android-248	android.content.res.TypedArray.getResourceId	Field	Field	true
com.eonsoft.Converter-152	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
elsayed.mohamed.com.steelyard-113	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.zentertain.photoeditor-185	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.cga.flexconnector-156	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.rjfittime.app-106	android.app.DownloadManager$Request.setDestinationInExternalPublicDir	Parameter	Parameter	true
net.dotpicko.dotpict-427	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
net.huaerzhong.brainteaser-434	android.database.sqlite.SQLiteConnectionPool.throwIfClosedLocked	Field	Field	true
com.rayg.loudringtones-425	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.javaexp.discolight-414	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
se.nansen.coop-463	android.media.MediaPlayer.prepareAsync	Unknown	Unknown	true
hu.psicore.mfportable-290	android.view.ViewRootImpl.setView	Field	Field	true
kr.mcpe.mods2-77	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.shyl.train-432	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
jp.andosan.futabaviewer-218	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.rebelnow.fingerboard-317	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ss.zhendong2-347	android.os.Parcel.readException	Unknown	Unknown	true
com.outthinking.textonpic-365	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
ch.btcfx-329	android.app.ContextImpl.validateServiceIntent	Parameter	Parameter	true
com.funbox.englishidioms-75	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
cnace.net-280	android.os.Parcel.readException	Unknown	Unknown	true
ru.allyteam.gramoteifree-332	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.found.found-423	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
info.goro3goro.japanese-174	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.nvidia.tegrazone-295	android.view.ViewRootImpl.setView	Field	Field	true
net.xfok.tool.tm-316	android.view.ViewGroup.addView	Parameter	Parameter	true
com.micabyte.android.pirates-61	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.lenovocw.music-356	android.os.Parcel.readException	Unknown	Unknown	true
com.tamco.cats-238	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.mycloudplayers.mycloudplayer-87	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.microcell.MyHouse-398	android.app.ContextImpl.bindServiceCommon	Parameter	Parameter	true
com.picframefx.android-268	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.sketchlab.livehomeshopping-452	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
yudo.work.saitosan-486	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
org.voicenightlight.v3-471	android.media.AudioRecord.startRecording	Field	Field	true
mobi.infolife.ezweather.widget.nori-224	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.turkusoz-357	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
mynet.games.sound.test-165	android.media.AudioRecord.startRecording	Field	Field	true
com.bestappsmarket.android.bestapps-424	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.stoik.mdscanlite-489	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.huluxia.gametools-292	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
strangefactory.mosquito-226	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.josapps.mosaicapp-252	android.os.Parcel.readException	Unknown	Unknown	true
com.chunshuitang.hackbuteer-103	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
sk.henrichg.phoneprofilesplus-131	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.vndtech.phrasebookengfr.lite-433	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.tom.music.fm-469	android.os.Parcel.readException	Unknown	Unknown	true
com.likeapp.game.bubbleshooter-401	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
